market,category,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Medallones de quinoa Nutree con batata y curry 4 u. </span>","$ 578,00",,,https://carrefourar.vtexassets.com/arquivos/ids/179398-170-170?v=1765376748&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletitas crackers Criollitas sin sal 169 g. </span>","$ 149,00",,,https://carrefourar.vtexassets.com/arquivos/ids/176402-170-170?v=1765378424&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Queso crema San Ignacio light sin sal 290 g. </span>","$ 404,00",,,https://carrefourar.vtexassets.com/arquivos/ids/192507-170-170?v=1765384981&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Fideos fusilli Wakas multicereal kale 250 g. sin TACC </span>","$ 399,00",,,https://carrefourar.vtexassets.com/arquivos/ids/234573-170-170?v=1765373274&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Aperitivo sin alcohol Carrefour citrus 1.5 l. </span>","$ 149,96$ 163,00","$ 149,96c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194451-170-170?v=1765384984&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Biscuits Smams artesanales 120 g. sin TACC </span>","$ 378,00",,,https://carrefourar.vtexassets.com/arquivos/ids/176050-170-170?v=1765373425&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Nuez moscada Pergola molida 25 g. sin TACC </span>","$ 221,50",,,https://carrefourar.vtexassets.com/arquivos/ids/176127-170-170?v=1765367825&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Limón Huella Natural x kg. </span>","$ 365,00",,,https://carrefourar.vtexassets.com/arquivos/ids/184369-170-170?v=1765385086&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Medallones de quinoa y brócoli Nutree 4 u. </span>","$ 578,00",,,https://carrefourar.vtexassets.com/arquivos/ids/179404-170-170?v=1765375496&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Aperitivo sin alcohol Carrefour cordillera 1.5 l. </span>","$ 149,96$ 163,00","$ 149,96c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194446-170-170?v=1765383173&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Ají molido Pergola 25 g. sin TACC </span>","$ 52,30",,,https://carrefourar.vtexassets.com/arquivos/ids/176115-170-170?v=1765378811&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Medallones de quinoa y espinaca Nutree 4 u. </span>","$ 578,00",,,https://carrefourar.vtexassets.com/arquivos/ids/179406-170-170?v=1765377947&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Medallones de quinoa Nutree con porotos y morrón 4 u. </span>","$ 578,00",,,https://carrefourar.vtexassets.com/arquivos/ids/179403-170-170?v=1765372562&width=170&height=170&aspect=true
